temp,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all,weather_main,weather_description,Product,Unit_Price,Discount,Total_Price,Quantity,cpi
274.9,273.28,271.23,273.86,275.35,1014,89,3.69,50,100,1,2,4,2.73,0.15,153.15,6089,101.0
274.9,273.28,271.23,273.86,275.35,1014,89,3.69,50,100,1,2,5,2.31,0.0,16.17,5996,101.0
274.9,273.28,271.23,273.86,275.35,1014,89,3.69,50,100,1,2,6,3.23,0.0,45.22,5514,101.0
273.74,273.05,271.06,272.58,274.62,1015,95,2.28,51,100,1,2,0,3.46,0.0,34.6,7485,101.0
273.74,273.05,271.06,272.58,274.62,1015,95,2.28,51,100,1,2,1,1.92,0.05,18.24,6541,101.0
273.74,273.05,271.06,272.58,274.62,1015,95,2.28,51,100,1,2,2,2.57,0.1,117.96,6881,101.0
273.74,273.05,271.06,272.58,274.62,1015,95,2.28,51,100,1,2,3,3.12,0.0,24.96,6742,101.0
273.74,273.05,271.06,272.58,274.62,1015,95,2.28,51,100,1,2,4,2.93,0.0,32.23,6709,101.0
273.74,273.05,271.06,272.58,274.62,1015,95,2.28,51,100,1,2,5,2.31,0.0,27.72,6860,101.0
273.74,273.05,271.06,272.58,274.62,1015,95,2.28,51,100,1,2,6,1.58,0.05,91.56,5795,101.0
274.29,271.9,271.19,272.04,274.62,1016,83,2.8,52,99,1,2,0,3.46,0.0,6.92,6394,101.0
274.29,271.9,271.19,272.04,274.62,1016,83,2.8,52,99,1,2,1,1.59,0.0,19.08,7044,101.0
274.29,271.9,271.19,272.04,274.62,1016,83,2.8,52,99,1,2,2,1.75,0.0,17.5,7106,101.0
274.29,271.9,271.19,272.04,274.62,1016,83,2.8,52,99,1,2,3,3.12,0.0,43.68,7206,101.0
274.29,271.9,271.19,272.04,274.62,1016,83,2.8,52,99,1,2,4,2.93,0.0,8.79,7396,101.0
274.29,271.9,271.19,272.04,274.62,1016,83,2.8,52,99,1,2,5,2.31,0.0,13.86,6245,101.0
274.29,271.9,271.19,272.04,274.62,1016,83,2.8,52,99,1,2,6,2.71,0.1,229.27,6140,101.0
274.81,273.8,272.31,273.86,275.18,1015,93,2.29,28,99,1,2,0,3.46,0.0,20.76,5839,101.0
274.81,273.8,272.31,273.86,275.18,1015,93,2.29,28,99,1,2,1,1.59,0.0,14.31,6334,101.0
274.81,273.8,272.31,273.86,275.18,1015,93,2.29,28,99,1,2,2,1.75,0.0,12.25,6880,101.0
274.81,273.8,272.31,273.86,275.18,1015,93,2.29,28,99,1,2,3,3.12,0.0,3.12,6750,101.0
274.81,273.8,272.31,273.86,275.18,1015,93,2.29,28,99,1,2,4,2.93,0.0,38.09,6070,101.0
274.81,273.8,272.31,273.86,275.18,1015,93,2.29,28,99,1,2,5,2.31,0.0,11.55,5654,101.0
274.81,273.8,272.31,273.86,275.18,1015,93,2.29,28,99,1,2,6,2.89,0.1,163.86,5751,101.0
272.97,271.01,269.01,272.51,274.16,1013,85,3.51,270,89,1,2,0,3.46,0.0,10.38,7116,101.0
272.97,271.01,269.01,272.51,274.16,1013,85,3.51,270,89,1,2,1,1.59,0.0,1.59,7145,101.0
272.97,271.01,269.01,272.51,274.16,1013,85,3.51,270,89,1,2,2,2.44,0.1,208.62,7342,101.0
272.97,271.01,269.01,272.51,274.16,1013,85,3.51,270,89,1,2,3,3.12,0.0,31.2,6420,101.0
272.97,271.01,269.01,272.51,274.16,1013,85,3.51,270,89,1,2,4,2.93,0.0,11.72,6785,101.0
272.97,271.01,269.01,272.51,274.16,1013,85,3.51,270,89,1,2,5,2.31,0.0,30.03,6721,101.0
272.97,271.01,269.01,272.51,274.16,1013,85,3.51,270,89,1,2,6,1.79,0.1,30.61,7514,101.0
274.17,271.35,270.89,272.58,274.89,1011,80,2.98,229,97,1,2,0,3.46,0.0,48.44,6537,101.0
274.17,271.35,270.89,272.58,274.89,1011,80,2.98,229,97,1,2,1,2.31,0.1,174.64,6958,101.0
274.17,271.35,270.89,272.58,274.89,1011,80,2.98,229,97,1,2,2,1.75,0.0,10.5,6092,101.0
274.17,271.35,270.89,272.58,274.89,1011,80,2.98,229,97,1,2,3,4.36,0.1,317.84,6802,101.0
274.17,271.35,270.89,272.58,274.89,1011,80,2.98,229,97,1,2,4,2.93,0.0,14.65,7509,101.0
274.17,271.35,270.89,272.58,274.89,1011,80,2.98,229,97,1,2,5,2.31,0.0,18.48,5892,101.0
274.17,271.35,270.89,272.58,274.89,1011,80,2.98,229,97,1,2,6,3.23,0.0,48.45,5721,101.0
273.28,270.13,270.07,271.61,273.78,1018,77,2.71,285,82,1,1,0,2.55,0.05,109.01,6016,101.0
273.28,270.13,270.07,271.61,273.78,1018,77,2.71,285,82,1,1,1,1.59,0.0,4.77,7129,101.0
273.28,270.13,270.07,271.61,273.78,1018,77,2.71,285,82,1,1,2,3.02,0.05,31.56,9209,101.0
273.28,270.13,270.07,271.61,273.78,1018,77,2.71,285,82,1,1,3,3.12,0.0,21.84,5563,101.0
273.28,270.13,270.07,271.61,273.78,1018,77,2.71,285,82,1,1,4,2.93,0.0,29.3,7353,101.0
273.28,270.13,270.07,271.61,273.78,1018,77,2.71,285,82,1,1,5,2.31,0.0,30.03,6920,101.0
273.28,270.13,270.07,271.61,273.78,1018,77,2.71,285,82,1,1,6,2.03,0.05,36.64,6581,101.0
271.28,270.29,271.28,270.91,272.57,1025,92,1.14,275,100,1,2,0,3.46,0.0,6.92,6806,101.0
271.28,270.29,271.28,270.91,272.57,1025,92,1.14,275,100,1,2,1,1.59,0.0,22.26,6165,101.0
271.28,270.29,271.28,270.91,272.57,1025,92,1.14,275,100,1,2,2,1.75,0.0,10.5,6075,101.0
271.28,270.29,271.28,270.91,272.57,1025,92,1.14,275,100,1,2,3,2.82,0.1,162.43,6805,101.0
271.28,270.29,271.28,270.91,272.57,1025,92,1.14,275,100,1,2,4,2.48,0.05,61.26,6410,101.0
271.28,270.29,271.28,270.91,272.57,1025,92,1.14,275,100,1,2,5,2.31,0.0,11.55,6299,101.0
271.28,270.29,271.28,270.91,272.57,1025,92,1.14,275,100,1,2,6,1.59,0.05,31.72,6337,101.0
268.91,265.72,265.08,267.49,271.96,1024,76,2.52,233,50,1,3,0,3.46,0.0,41.52,6059,101.0
268.91,265.72,265.08,267.49,271.96,1024,76,2.52,233,50,1,3,1,1.41,0.05,32.15,6404,101.0
268.91,265.72,265.08,267.49,271.96,1024,76,2.52,233,50,1,3,2,1.75,0.0,12.25,6272,101.0
268.91,265.72,265.08,267.49,271.96,1024,76,2.52,233,50,1,3,3,3.12,0.0,46.8,7670,101.0
268.91,265.72,265.08,267.49,271.96,1024,76,2.52,233,50,1,3,4,4.28,0.1,373.64,6157,101.0
268.91,265.72,265.08,267.49,271.96,1024,76,2.52,233,50,1,3,5,2.31,0.0,13.86,7661,101.0
268.91,265.72,265.08,267.49,271.96,1024,76,2.52,233,50,1,3,6,2.95,0.15,193.08,6093,101.0
274.65,270.67,269.2,273.13,275.18,1012,73,6.92,228,100,1,2,0,3.62,0.1,247.61,6783,101.0
274.65,270.67,269.2,273.13,275.18,1012,73,6.92,228,100,1,2,1,1.59,0.0,6.36,6909,101.0
274.65,270.67,269.2,273.13,275.18,1012,73,6.92,228,100,1,2,2,1.75,0.0,8.75,7299,101.0
274.65,270.67,269.2,273.13,275.18,1012,73,6.92,228,100,1,2,3,3.12,0.0,9.36,6574,101.0
274.65,270.67,269.2,273.13,275.18,1012,73,6.92,228,100,1,2,4,2.93,0.0,2.93,8046,101.0
274.65,270.67,269.2,273.13,275.18,1012,73,6.92,228,100,1,2,5,2.31,0.0,16.17,7254,101.0
274.65,270.67,269.2,273.13,275.18,1012,73,6.92,228,100,1,2,6,3.23,0.0,38.76,7402,101.0
274.66,271.47,270.19,273.13,275.18,1013,78,4.87,272,23,1,4,0,3.46,0.0,41.52,6039,101.0
274.66,271.47,270.19,273.13,275.18,1013,78,4.87,272,23,1,4,1,2.31,0.15,196.35,7299,101.0
274.66,271.47,270.19,273.13,275.18,1013,78,4.87,272,23,1,4,2,1.46,0.05,9.71,6649,101.0
274.66,271.47,270.19,273.13,275.18,1013,78,4.87,272,23,1,4,3,3.12,0.0,31.2,6797,101.0
274.66,271.47,270.19,273.13,275.18,1013,78,4.87,272,23,1,4,4,2.93,0.0,29.3,6959,101.0
274.66,271.47,270.19,273.13,275.18,1013,78,4.87,272,23,1,4,5,1.83,0.05,27.82,6529,101.0
274.66,271.47,270.19,273.13,275.18,1013,78,4.87,272,23,1,4,6,3.69,0.1,308.85,7227,101.0
273.54,268.35,267.94,272.58,274.24,1011,65,6.53,305,85,1,2,0,3.46,0.0,44.98,6025,101.0
273.54,268.35,267.94,272.58,274.24,1011,65,6.53,305,85,1,2,1,1.59,0.0,17.49,6812,101.0
273.54,268.35,267.94,272.58,274.24,1011,65,6.53,305,85,1,2,2,1.75,0.0,10.5,7292,101.0
273.54,268.35,267.94,272.58,274.24,1011,65,6.53,305,85,1,2,3,3.12,0.0,34.32,6439,101.0
273.54,268.35,267.94,272.58,274.24,1011,65,6.53,305,85,1,2,4,2.93,0.0,32.23,6498,101.0
273.54,268.35,267.94,272.58,274.24,1011,65,6.53,305,85,1,2,5,2.31,0.0,6.93,7245,101.0
273.54,268.35,267.94,272.58,274.24,1011,65,6.53,305,85,1,2,6,3.23,0.0,16.15,5570,101.0
271.85,268.28,268.79,270.23,272.4,1022,74,2.32,349,14,1,4,0,3.46,0.0,51.9,5480,101.0
271.85,268.28,268.79,270.23,272.4,1022,74,2.32,349,14,1,4,1,1.59,0.0,14.31,6542,101.0
271.85,268.28,268.79,270.23,272.4,1022,74,2.32,349,14,1,4,2,1.75,0.0,1.75,6357,101.0
271.85,268.28,268.79,270.23,272.4,1022,74,2.32,349,14,1,4,3,3.12,0.0,43.68,6996,101.0
271.85,268.28,268.79,270.23,272.4,1022,74,2.32,349,14,1,4,4,3.03,0.1,109.08,5581,101.0
271.85,268.28,268.79,270.23,272.4,1022,74,2.32,349,14,1,4,5,2.31,0.0,20.79,7940,101.0
271.85,268.28,268.79,270.23,272.4,1022,74,2.32,349,14,1,4,6,3.23,0.0,38.76,5930,101.0
270.41,268.35,266.88,269.74,271.22,1029,84,2.5,333,82,1,1,0,3.46,0.0,38.06,6782,101.0
270.41,268.35,266.88,269.74,271.22,1029,84,2.5,333,82,1,1,1,1.59,0.0,12.72,6224,101.0
270.41,268.35,266.88,269.74,271.22,1029,84,2.5,333,82,1,1,2,1.75,0.0,3.5,6611,101.0
270.41,268.35,266.88,269.74,271.22,1029,84,2.5,333,82,1,1,3,3.12,0.0,43.68,6576,101.0
270.41,268.35,266.88,269.74,271.22,1029,84,2.5,333,82,1,1,4,2.36,0.1,82.84,7374,101.0
270.41,268.35,266.88,269.74,271.22,1029,84,2.5,333,82,1,1,5,2.31,0.0,18.48,5895,101.0
270.41,268.35,266.88,269.74,271.22,1029,84,2.5,333,82,1,1,6,3.23,0.0,35.53,6201,101.0
271.01,267.62,268.41,269.25,271.84,1020,75,1.85,209,99,1,2,0,3.38,0.1,304.2,7303,101.0
271.01,267.62,268.41,269.25,271.84,1020,75,1.85,209,99,1,2,1,1.59,0.0,4.77,7854,101.0
271.01,267.62,268.41,269.25,271.84,1020,75,1.85,209,99,1,2,2,1.32,0.05,51.41,7886,101.0
271.01,267.62,268.41,269.25,271.84,1020,75,1.85,209,99,1,2,3,3.12,0.0,34.32,6200,101.0
271.01,267.62,268.41,269.25,271.84,1020,75,1.85,209,99,1,2,4,3.51,0.05,136.71,7364,101.0
271.01,267.62,268.41,269.25,271.84,1020,75,1.85,209,99,1,2,5,1.65,0.05,59.56,6618,101.0
271.01,267.62,268.41,269.25,271.84,1020,75,1.85,209,99,1,2,6,2.62,0.1,134.41,6818,101.0
272.8,270.7,269.65,271.47,273.44,1021,84,2.56,251,98,0,0,0,2.88,0.05,188.78,6044,101.0
272.8,270.7,269.65,271.47,273.44,1021,84,2.56,251,98,0,0,1,2.02,0.1,158.17,7044,101.0
272.8,270.7,269.65,271.47,273.44,1021,84,2.56,251,98,0,0,2,2.48,0.05,47.12,7566,101.0
272.8,270.7,269.65,271.47,273.44,1021,84,2.56,251,98,0,0,3,2.41,0.05,27.47,6896,101.0
272.8,270.7,269.65,271.47,273.44,1021,84,2.56,251,98,0,0,4,2.93,0.0,26.37,8193,101.0
272.8,270.7,269.65,271.47,273.44,1021,84,2.56,251,98,0,0,5,2.31,0.0,13.86,6799,101.0
272.8,270.7,269.65,271.47,273.44,1021,84,2.56,251,98,0,0,6,2.29,0.05,58.74,7651,101.0
276.19,273.09,271.88,275.36,276.56,1019,80,5.3,238,100,1,2,0,3.46,0.0,13.84,6135,101.0
276.19,273.09,271.88,275.36,276.56,1019,80,5.3,238,100,1,2,1,1.59,0.0,14.31,6953,101.0
276.19,273.09,271.88,275.36,276.56,1019,80,5.3,238,100,1,2,2,1.75,0.0,22.75,6713,101.0
276.19,273.09,271.88,275.36,276.56,1019,80,5.3,238,100,1,2,3,2.77,0.05,2.63,5449,101.0
276.19,273.09,271.88,275.36,276.56,1019,80,5.3,238,100,1,2,4,2.93,0.0,20.51,6761,101.0
276.19,273.09,271.88,275.36,276.56,1019,80,5.3,238,100,1,2,5,2.31,0.0,11.55,8800,101.0
276.19,273.09,271.88,275.36,276.56,1019,80,5.3,238,100,1,2,6,3.23,0.0,45.22,6671,101.0
276.81,273.0,272.26,274.82,277.16,1008,76,6.2,227,97,1,2,0,3.46,0.0,41.52,8236,101.0
276.81,273.0,272.26,274.82,277.16,1008,76,6.2,227,97,1,2,1,1.59,0.0,7.95,6878,101.0
276.81,273.0,272.26,274.82,277.16,1008,76,6.2,227,97,1,2,2,1.75,0.0,22.75,7316,101.0
276.81,273.0,272.26,274.82,277.16,1008,76,6.2,227,97,1,2,3,3.64,0.1,144.14,6978,101.0
276.81,273.0,272.26,274.82,277.16,1008,76,6.2,227,97,1,2,4,4.45,0.15,370.68,6984,101.0
276.81,273.0,272.26,274.82,277.16,1008,76,6.2,227,97,1,2,5,2.31,0.0,25.41,6998,101.0
276.81,273.0,272.26,274.82,277.16,1008,76,6.2,227,97,1,2,6,3.11,0.1,223.92,7338,101.0
279.52,272.63,275.69,277.59,279.8,999,61,6.25,198,66,1,1,0,2.23,0.1,128.45,7350,101.0
279.52,272.63,275.69,277.59,279.8,999,61,6.25,198,66,1,1,1,1.59,0.0,22.26,6502,101.0
279.52,272.63,275.69,277.59,279.8,999,61,6.25,198,66,1,1,2,1.75,0.0,10.5,7497,101.0
279.52,272.63,275.69,277.59,279.8,999,61,6.25,198,66,1,1,3,3.12,0.0,34.32,6919,101.0
279.52,272.63,275.69,277.59,279.8,999,61,6.25,198,66,1,1,4,2.93,0.0,20.51,6235,101.0
279.52,272.63,275.69,277.59,279.8,999,61,6.25,198,66,1,1,5,2.48,0.1,127.22,7426,101.0
279.52,272.63,275.69,277.59,279.8,999,61,6.25,198,66,1,1,6,3.23,0.0,19.38,6411,101.0
282.29,277.71,278.59,280.85,282.89,991,73,8.45,201,100,2,5,0,3.07,0.05,43.75,6939,101.0
282.29,277.71,278.59,280.85,282.89,991,73,8.45,201,100,2,5,1,1.59,0.0,20.67,7417,101.0
282.29,277.71,278.59,280.85,282.89,991,73,8.45,201,100,2,5,2,1.75,0.0,19.25,7573,101.0
282.29,277.71,278.59,280.85,282.89,991,73,8.45,201,100,2,5,3,3.92,0.1,328.1,6660,101.0
282.29,277.71,278.59,280.85,282.89,991,73,8.45,201,100,2,5,4,2.93,0.0,2.93,6451,101.0
282.29,277.71,278.59,280.85,282.89,991,73,8.45,201,100,2,5,5,2.31,0.0,20.79,7501,101.0
282.29,277.71,278.59,280.85,282.89,991,73,8.45,201,100,2,5,6,3.23,0.0,32.3,6565,101.0
274.37,273.95,272.08,273.68,275.27,997,97,2.03,336,100,1,2,0,3.46,0.0,27.68,6302,101.0
274.37,273.95,272.08,273.68,275.27,997,97,2.03,336,100,1,2,1,1.59,0.0,6.36,5979,101.0
274.37,273.95,272.08,273.68,275.27,997,97,2.03,336,100,1,2,2,1.75,0.0,10.5,6406,101.0
274.37,273.95,272.08,273.68,275.27,997,97,2.03,336,100,1,2,3,3.12,0.0,40.56,6227,101.0
274.37,273.95,272.08,273.68,275.27,997,97,2.03,336,100,1,2,4,2.93,0.0,2.93,6420,101.0
274.37,273.95,272.08,273.68,275.27,997,97,2.03,336,100,1,2,5,2.31,0.0,34.65,6060,101.0
274.37,273.95,272.08,273.68,275.27,997,97,2.03,336,100,1,2,6,3.23,0.0,38.76,4920,101.0
273.64,272.44,270.39,272.58,275.27,995,91,2.83,126,97,1,2,0,2.13,0.05,2.02,7566,101.0
273.64,272.44,270.39,272.58,275.27,995,91,2.83,126,97,1,2,1,1.59,0.0,14.31,6983,101.0
273.64,272.44,270.39,272.58,275.27,995,91,2.83,126,97,1,2,2,1.75,0.0,5.25,7453,101.0
273.64,272.44,270.39,272.58,275.27,995,91,2.83,126,97,1,2,3,2.54,0.05,7.24,6252,101.0
273.64,272.44,270.39,272.58,275.27,995,91,2.83,126,97,1,2,4,3.11,0.05,59.09,6400,101.0
273.64,272.44,270.39,272.58,275.27,995,91,2.83,126,97,1,2,5,2.31,0.0,23.1,7025,101.0
273.64,272.44,270.39,272.58,275.27,995,91,2.83,126,97,1,2,6,3.23,0.0,3.23,7704,101.0
273.26,270.41,270.17,270.93,273.78,1001,79,2.59,237,99,1,2,0,3.4,0.05,184.11,5833,101.0
273.26,270.41,270.17,270.93,273.78,1001,79,2.59,237,99,1,2,1,1.42,0.05,47.22,7091,101.0
273.26,270.41,270.17,270.93,273.78,1001,79,2.59,237,99,1,2,2,2.24,0.1,147.17,6030,101.0
273.26,270.41,270.17,270.93,273.78,1001,79,2.59,237,99,1,2,3,3.12,0.0,18.72,6547,101.0
273.26,270.41,270.17,270.93,273.78,1001,79,2.59,237,99,1,2,4,2.56,0.15,171.9,6332,101.0
273.26,270.41,270.17,270.93,273.78,1001,79,2.59,237,99,1,2,5,3.29,0.15,181.77,7272,101.0
273.26,270.41,270.17,270.93,273.78,1001,79,2.59,237,99,1,2,6,2.45,0.05,139.65,7918,101.0
271.62,269.26,267.31,270.23,272.49,1011,82,3.58,229,83,1,1,0,3.46,0.0,44.98,6261,101.0
271.62,269.26,267.31,270.23,272.49,1011,82,3.58,229,83,1,1,1,2.04,0.05,153.1,7163,101.0
271.62,269.26,267.31,270.23,272.49,1011,82,3.58,229,83,1,1,2,1.75,0.0,17.5,7517,101.0
271.62,269.26,267.31,270.23,272.49,1011,82,3.58,229,83,1,1,3,3.12,0.0,6.24,6884,101.0
271.62,269.26,267.31,270.23,272.49,1011,82,3.58,229,83,1,1,4,2.93,0.0,38.09,6915,101.0
271.62,269.26,267.31,270.23,272.49,1011,82,3.58,229,83,1,1,5,2.31,0.0,34.65,6261,101.0
271.62,269.26,267.31,270.23,272.49,1011,82,3.58,229,83,1,1,6,3.61,0.1,198.19,7373,101.0
273.74,270.98,270.38,271.48,274.16,1018,80,2.98,242,95,1,2,0,3.46,0.0,10.38,6218,101.0
273.74,270.98,270.38,271.48,274.16,1018,80,2.98,242,95,1,2,1,1.59,0.0,23.85,6560,101.0
273.74,270.98,270.38,271.48,274.16,1018,80,2.98,242,95,1,2,2,1.75,0.0,14.0,7569,101.0
273.74,270.98,270.38,271.48,274.16,1018,80,2.98,242,95,1,2,3,3.12,0.0,18.72,6837,101.0
273.74,270.98,270.38,271.48,274.16,1018,80,2.98,242,95,1,2,4,3.11,0.1,212.72,7134,101.0
273.74,270.98,270.38,271.48,274.16,1018,80,2.98,242,95,1,2,5,2.19,0.05,62.42,6603,101.0
273.74,270.98,270.38,271.48,274.16,1018,80,2.98,242,95,1,2,6,3.23,0.0,32.3,6998,101.0
275.18,273.1,271.02,274.25,275.78,1011,86,4.56,241,100,1,2,0,3.34,0.05,44.42,6233,101.0
275.18,273.1,271.02,274.25,275.78,1011,86,4.56,241,100,1,2,1,1.59,0.0,6.36,6851,101.0
275.18,273.1,271.02,274.25,275.78,1011,86,4.56,241,100,1,2,2,1.75,0.0,24.5,6697,101.0
275.18,273.1,271.02,274.25,275.78,1011,86,4.56,241,100,1,2,3,2.63,0.1,142.02,5978,101.0
275.18,273.1,271.02,274.25,275.78,1011,86,4.56,241,100,1,2,4,2.22,0.05,82.25,6494,101.0
275.18,273.1,271.02,274.25,275.78,1011,86,4.56,241,100,1,2,5,3.19,0.15,254.88,6652,101.0
275.18,273.1,271.02,274.25,275.78,1011,86,4.56,241,100,1,2,6,3.23,0.0,22.61,6946,101.0
274.19,273.62,271.08,273.07,274.71,1004,96,2.79,118,100,1,2,0,2.33,0.05,75.26,7502,101.0
274.19,273.62,271.08,273.07,274.71,1004,96,2.79,118,100,1,2,1,1.59,0.0,17.49,6421,101.0
274.19,273.62,271.08,273.07,274.71,1004,96,2.79,118,100,1,2,2,1.75,0.0,3.5,6606,101.0
274.19,273.62,271.08,273.07,274.71,1004,96,2.79,118,100,1,2,3,3.12,0.0,40.56,6547,101.0
274.19,273.62,271.08,273.07,274.71,1004,96,2.79,118,100,1,2,4,2.93,0.0,26.37,7106,101.0
274.19,273.62,271.08,273.07,274.71,1004,96,2.79,118,100,1,2,5,2.24,0.05,125.55,6899,101.0
274.19,273.62,271.08,273.07,274.71,1004,96,2.79,118,100,1,2,6,2.6,0.1,184.86,6056,101.0
279.26,276.59,275.27,278.28,279.89,996,83,6.49,254,100,2,5,0,3.46,0.0,6.92,7092,101.0
279.26,276.59,275.27,278.28,279.89,996,83,6.49,254,100,2,5,1,1.59,0.0,20.67,6952,101.0
279.26,276.59,275.27,278.28,279.89,996,83,6.49,254,100,2,5,2,1.75,0.0,7.0,7406,101.0
279.26,276.59,275.27,278.28,279.89,996,83,6.49,254,100,2,5,3,3.12,0.0,43.68,6789,101.0
279.26,276.59,275.27,278.28,279.89,996,83,6.49,254,100,2,5,4,2.84,0.05,80.94,6983,101.0
279.26,276.59,275.27,278.28,279.89,996,83,6.49,254,100,2,5,5,2.31,0.0,16.17,6152,101.0
279.26,276.59,275.27,278.28,279.89,996,83,6.49,254,100,2,5,6,3.2,0.1,288.0,6343,101.0
272.2,267.28,268.02,270.91,272.67,1006,66,3.57,88,96,1,2,0,3.01,0.1,159.83,6770,101.0
272.2,267.28,268.02,270.91,272.67,1006,66,3.57,88,96,1,2,1,2.71,0.1,219.51,6307,101.0
272.2,267.28,268.02,270.91,272.67,1006,66,3.57,88,96,1,2,2,2.51,0.05,176.45,5914,101.0
272.2,267.28,268.02,270.91,272.67,1006,66,3.57,88,96,1,2,3,3.12,0.0,18.72,6880,101.0
272.2,267.28,268.02,270.91,272.67,1006,66,3.57,88,96,1,2,4,2.57,0.05,92.78,5852,101.0
272.2,267.28,268.02,270.91,272.67,1006,66,3.57,88,96,1,2,5,2.31,0.0,23.1,6636,101.0
272.2,267.28,268.02,270.91,272.67,1006,66,3.57,88,96,1,2,6,2.55,0.05,113.86,7565,101.0
271.86,267.8,267.66,269.26,273.12,1000,71,3.51,107,99,1,2,0,3.46,0.0,17.3,7017,101.6
271.86,267.8,267.66,269.26,273.12,1000,71,3.51,107,99,1,2,1,1.59,0.0,20.67,6471,101.6
271.86,267.8,267.66,269.26,273.12,1000,71,3.51,107,99,1,2,2,1.75,0.0,8.75,6919,101.6
271.86,267.8,267.66,269.26,273.12,1000,71,3.51,107,99,1,2,3,3.12,0.0,24.96,7067,101.6
271.86,267.8,267.66,269.26,273.12,1000,71,3.51,107,99,1,2,4,2.93,0.0,14.65,6654,101.6
271.86,267.8,267.66,269.26,273.12,1000,71,3.51,107,99,1,2,5,2.31,0.0,25.41,6552,101.6
271.86,267.8,267.66,269.26,273.12,1000,71,3.51,107,99,1,2,6,3.23,0.0,45.22,6074,101.6
276.01,273.74,273.01,274.39,276.56,1002,85,3.09,251,100,1,2,0,3.46,0.0,13.84,8053,101.6
276.01,273.74,273.01,274.39,276.56,1002,85,3.09,251,100,1,2,1,1.59,0.0,19.08,6600,101.6
276.01,273.74,273.01,274.39,276.56,1002,85,3.09,251,100,1,2,2,1.75,0.0,14.0,7228,101.6
276.01,273.74,273.01,274.39,276.56,1002,85,3.09,251,100,1,2,3,3.12,0.0,46.8,6596,101.6
276.01,273.74,273.01,274.39,276.56,1002,85,3.09,251,100,1,2,4,2.93,0.0,17.58,6528,101.6
276.01,273.74,273.01,274.39,276.56,1002,85,3.09,251,100,1,2,5,2.31,0.0,30.03,7203,101.6
276.01,273.74,273.01,274.39,276.56,1002,85,3.09,251,100,1,2,6,3.23,0.0,48.45,7121,101.6
281.87,278.62,279.41,279.82,282.67,1002,80,4.37,227,57,2,5,0,3.46,0.0,3.46,6633,101.6
281.87,278.62,279.41,279.82,282.67,1002,80,4.37,227,57,2,5,1,1.51,0.05,25.82,8066,101.6
281.87,278.62,279.41,279.82,282.67,1002,80,4.37,227,57,2,5,2,2.07,0.05,92.43,6443,101.6
281.87,278.62,279.41,279.82,282.67,1002,80,4.37,227,57,2,5,3,3.12,0.0,9.36,6478,101.6
281.87,278.62,279.41,279.82,282.67,1002,80,4.37,227,57,2,5,4,2.59,0.05,14.76,6426,101.6
281.87,278.62,279.41,279.82,282.67,1002,80,4.37,227,57,2,5,5,2.58,0.05,186.28,7162,101.6
281.87,278.62,279.41,279.82,282.67,1002,80,4.37,227,57,2,5,6,2.59,0.1,125.87,6842,101.6
