date,fruit_type,price
2024-06-04,apple,651
2024-06-05,apple,654
2024-06-06,apple,653
2024-06-07,apple,650
2024-06-08,apple,649
2024-06-09,apple,646
2024-06-10,apple,647
2024-06-11,apple,648
2024-06-12,apple,654
2024-06-13,apple,642
2024-06-14,apple,644
2024-06-15,apple,641
2024-06-16,apple,652
2024-06-17,apple,653
2024-06-18,apple,646
2024-06-19,apple,648
2024-06-20,apple,656
2024-06-21,apple,650
2024-06-22,apple,652
2024-06-23,apple,649
2024-06-24,apple,655
2024-06-25,apple,642
2024-06-26,apple,651
2024-06-27,apple,647
2024-06-28,apple,645
2024-06-29,apple,652
2024-06-30,apple,652
2024-07-01,apple,652
2024-07-02,apple,646
2024-07-03,apple,655
2024-07-04,apple,656
2024-07-05,apple,643
2024-07-06,apple,650
2024-07-07,apple,642
2024-07-08,apple,652
2024-07-09,apple,658
2024-07-10,apple,645
2024-07-11,apple,650
2024-07-12,apple,653
2024-07-13,apple,653
2024-07-14,apple,646
2024-07-15,apple,653
2024-07-16,apple,645
2024-07-17,apple,649
2024-07-18,apple,650
2024-07-19,apple,636
2024-07-20,apple,646
2024-07-21,apple,652
2024-07-22,apple,638
2024-07-23,apple,653
2024-07-24,apple,655
2024-07-25,apple,643
2024-07-26,apple,645
2024-07-27,apple,647
2024-07-28,apple,642
2024-07-29,apple,656
2024-07-30,apple,639
2024-07-31,apple,652
2024-08-01,apple,652
2024-08-02,apple,650
2024-08-03,apple,652
2024-08-04,apple,648
2024-08-05,apple,650
2024-08-06,apple,650
2024-08-07,apple,648
2024-08-08,apple,656
2024-08-09,apple,649
2024-08-10,apple,644
2024-08-11,apple,648
2024-08-12,apple,645
2024-08-13,apple,651
2024-08-14,apple,647
2024-08-15,apple,659
2024-08-16,apple,657
2024-08-17,apple,648
2024-08-18,apple,656
2024-08-19,apple,646
2024-08-20,apple,656
2024-08-21,apple,662
2024-08-22,apple,647
2024-08-23,apple,655
2024-08-24,apple,647
2024-08-25,apple,650
2024-08-26,apple,658
2024-08-27,apple,650
2024-08-28,apple,656
2024-08-29,apple,652
2024-08-30,apple,652
2024-08-31,apple,646
2024-09-01,apple,641
2024-09-02,apple,648
2024-09-03,apple,643
2024-09-04,apple,645
2024-09-05,apple,644
2024-09-06,apple,640
2024-09-07,apple,645
2024-09-08,apple,659
2024-09-09,apple,653
2024-09-10,apple,645
2024-09-11,apple,652
2024-09-12,apple,644
2024-09-13,apple,648
2024-09-14,apple,645
2024-09-15,apple,643
2024-09-16,apple,654
2024-09-17,apple,655
2024-09-18,apple,651
2024-09-19,apple,644
2024-09-20,apple,647
2024-09-21,apple,652
2024-09-22,apple,653
2024-09-23,apple,642
2024-09-24,apple,652
2024-09-25,apple,659
2024-09-26,apple,647
2024-09-27,apple,643
2024-09-28,apple,647
2024-09-29,apple,650
2024-09-30,apple,644
2024-10-01,apple,657
2024-10-02,apple,649
2024-10-03,apple,652
2024-10-04,apple,638
2024-10-05,apple,657
2024-10-06,apple,657
2024-10-07,apple,651
2024-10-08,apple,655
2024-10-09,apple,643
2024-10-10,apple,643
2024-10-11,apple,645
2024-10-12,apple,655
2024-10-13,apple,655
2024-10-14,apple,646
2024-10-15,apple,647
2024-10-16,apple,652
2024-10-17,apple,651
2024-10-18,apple,654
2024-10-19,apple,653
2024-10-20,apple,648
2024-10-21,apple,647
2024-10-22,apple,661
2024-10-23,apple,644
2024-10-24,apple,643
2024-10-25,apple,647
2024-10-26,apple,649
2024-10-27,apple,646
2024-10-28,apple,644
2024-10-29,apple,650
2024-10-30,apple,652
2024-10-31,apple,648
2024-11-01,apple,652
2024-11-02,apple,645
2024-11-03,apple,642
2024-11-04,apple,647
2024-11-05,apple,650
2024-11-06,apple,640
2024-11-07,apple,640
2024-11-08,apple,658
2024-11-09,apple,649
2024-11-10,apple,654
2024-11-11,apple,643
2024-11-12,apple,648
2024-11-13,apple,650
2024-11-14,apple,648
2024-11-15,apple,658
2024-11-16,apple,640
2024-11-17,apple,652
2024-11-18,apple,649
2024-11-19,apple,648
2024-11-20,apple,652
2024-11-21,apple,664
2024-11-22,apple,654
2024-11-23,apple,655
2024-11-24,apple,653
2024-11-25,apple,657
2024-11-26,apple,656
2024-11-27,apple,642
2024-11-28,apple,651
2024-11-29,apple,648
2024-11-30,apple,651
2024-12-01,apple,647
2024-12-02,apple,654
2024-12-03,apple,648
2024-12-04,apple,651
2024-12-05,apple,644
2024-12-06,apple,653
2024-12-07,apple,655
2024-12-08,apple,642
2024-12-09,apple,642
2024-12-10,apple,645
2024-12-11,apple,640
2024-12-12,apple,649
2024-12-13,apple,653
2024-12-14,apple,647
2024-12-15,apple,641
2024-12-16,apple,656
2024-12-17,apple,651
2024-12-18,apple,646
2024-12-19,apple,653
2024-12-20,apple,647
2024-12-21,apple,660
2024-12-22,apple,650
2024-12-23,apple,654
2024-12-24,apple,646
2024-12-25,apple,644
2024-12-26,apple,651
2024-12-27,apple,653
2024-12-28,apple,656
2024-12-29,apple,644
2024-12-30,apple,647
2024-12-31,apple,647
2025-01-01,apple,639
2025-01-02,apple,649
2025-01-03,apple,655
2025-01-04,apple,646
2025-01-05,apple,649
2025-01-06,apple,658
2025-01-07,apple,647
2025-01-08,apple,654
2025-01-09,apple,652
2025-01-10,apple,648
2025-01-11,apple,650
2025-01-12,apple,646
2025-01-13,apple,639
2025-01-14,apple,653
2025-01-15,apple,653
2025-01-16,apple,644
2025-01-17,apple,642
2025-01-18,apple,642
2025-01-19,apple,650
2025-01-20,apple,650
2025-01-21,apple,652
2025-01-22,apple,647
2025-01-23,apple,644
2025-01-24,apple,656
2025-01-25,apple,648
2025-01-26,apple,649
2025-01-27,apple,653
2025-01-28,apple,644
2025-01-29,apple,653
2025-01-30,apple,650
2025-01-31,apple,650
2025-02-01,apple,654
2025-02-02,apple,645
2025-02-03,apple,648
2025-02-04,apple,655
2025-02-05,apple,649
2025-02-06,apple,654
2025-02-07,apple,656
2025-02-08,apple,646
2025-02-09,apple,650
2025-02-10,apple,639
2025-02-11,apple,647
2025-02-12,apple,650
2025-02-13,apple,643
2025-02-14,apple,660
2025-02-15,apple,649
2025-02-16,apple,648
2025-02-17,apple,642
2025-02-18,apple,649
2025-02-19,apple,644
2025-02-20,apple,649
2025-02-21,apple,646
2025-02-22,apple,652
2025-02-23,apple,648
2025-02-24,apple,651
2025-02-25,apple,659
2025-02-26,apple,648
2025-02-27,apple,654
2025-02-28,apple,651
2025-03-01,apple,652
2025-03-02,apple,649
2025-03-03,apple,642
2025-03-04,apple,655
2025-03-05,apple,643
2025-03-06,apple,657
2025-03-07,apple,655
2025-03-08,apple,649
2025-03-09,apple,641
2025-03-10,apple,644
2025-03-11,apple,651
2025-03-12,apple,649
2025-03-13,apple,638
2025-03-14,apple,643
2025-03-15,apple,650
2025-03-16,apple,648
2025-03-17,apple,641
2025-03-18,apple,645
2025-03-19,apple,644
2025-03-20,apple,648
2025-03-21,apple,655
2025-03-22,apple,648
2025-03-23,apple,654
2025-03-24,apple,643
2025-03-25,apple,646
2025-03-26,apple,658
2025-03-27,apple,653
2025-03-28,apple,655
2025-03-29,apple,650
2025-03-30,apple,646
2025-03-31,apple,648
2025-04-01,apple,649
2025-04-02,apple,651
2025-04-03,apple,635
2025-04-04,apple,645
2025-04-05,apple,653
2025-04-06,apple,656
2025-04-07,apple,643
2025-04-08,apple,648
2025-04-09,apple,651
2025-04-10,apple,643
2025-04-11,apple,646
2025-04-12,apple,643
2025-04-13,apple,650
2025-04-14,apple,648
2025-04-15,apple,641
2025-04-16,apple,659
2025-04-17,apple,637
2025-04-18,apple,656
2025-04-19,apple,642
2025-04-20,apple,641
2025-04-21,apple,646
2025-04-22,apple,642
2025-04-23,apple,642
2025-04-24,apple,635
2025-04-25,apple,656
2025-04-26,apple,646
2025-04-27,apple,652
2025-04-28,apple,654
2025-04-29,apple,651
2025-04-30,apple,658
2025-05-01,apple,655
2024-01-01,mango,399
2024-01-02,mango,391
2024-01-03,mango,401
2024-01-04,mango,393
2024-01-05,mango,398
2024-01-06,mango,404
2024-01-07,mango,398
2024-01-08,mango,397
2024-01-09,mango,398
2024-01-10,mango,400
2024-01-11,mango,392
2024-01-12,mango,395
2024-01-13,mango,403
2024-01-14,mango,409
2024-01-15,mango,396
2024-01-16,mango,394
2024-01-17,mango,393
2024-01-18,mango,402
2024-01-19,mango,400
2024-01-20,mango,400
2024-01-21,mango,404
2024-01-22,mango,406
2024-01-23,mango,400
2024-01-24,mango,410
2024-01-25,mango,401
2024-01-26,mango,404
2024-01-27,mango,393
2024-01-28,mango,402
2024-01-29,mango,398
2024-01-30,mango,402
2024-01-31,mango,404
2024-02-01,mango,396
2024-02-02,mango,397
2024-02-03,mango,397
2024-02-04,mango,400
2024-02-05,mango,394
2024-02-06,mango,399
2024-02-07,mango,397
2024-02-08,mango,398
2024-02-09,mango,415
2024-02-10,mango,404
2024-02-11,mango,393
2024-02-12,mango,403
2024-02-13,mango,401
2024-02-14,mango,407
2024-02-15,mango,397
2024-02-16,mango,398
2024-02-17,mango,401
2024-02-18,mango,397
2024-02-19,mango,391
2024-02-20,mango,402
2024-02-21,mango,394
2024-02-22,mango,399
2024-02-23,mango,400
2024-02-24,mango,398
2024-02-25,mango,397
2024-02-26,mango,398
2024-02-27,mango,389
2024-02-28,mango,399
2024-02-29,mango,408
2024-03-01,mango,367
2024-03-02,mango,367
2024-03-03,mango,350
2024-03-04,mango,377
2024-03-05,mango,350
2024-03-06,mango,377
2024-03-07,mango,352
2024-03-08,mango,365
2024-03-09,mango,374
2024-03-10,mango,354
2024-03-11,mango,370
2024-03-12,mango,353
2024-03-13,mango,369
2024-03-14,mango,350
2024-03-15,mango,360
2024-03-16,mango,365
2024-03-17,mango,373
2024-03-18,mango,350
2024-03-19,mango,373
2024-03-20,mango,350
2024-03-21,mango,350
2024-03-22,mango,351
2024-03-23,mango,350
2024-03-24,mango,381
2024-03-25,mango,350
2024-03-26,mango,364
2024-03-27,mango,350
2024-03-28,mango,350
2024-03-29,mango,350
2024-03-30,mango,386
2024-03-31,mango,376
2024-04-01,mango,371
2024-04-02,mango,369
2024-04-03,mango,381
2024-04-04,mango,359
2024-04-05,mango,370
2024-04-06,mango,361
2024-04-07,mango,359
2024-04-08,mango,356
2024-04-09,mango,350
2024-04-10,mango,355
2024-04-11,mango,369
2024-04-12,mango,350
2024-04-13,mango,379
2024-04-14,mango,350
2024-04-15,mango,350
2024-04-16,mango,352
2024-04-17,mango,354
2024-04-18,mango,374
2024-04-19,mango,358
2024-04-20,mango,372
2024-04-21,mango,362
2024-04-22,mango,350
2024-04-23,mango,372
2024-04-24,mango,350
2024-04-25,mango,372
2024-04-26,mango,369
2024-04-27,mango,370
2024-04-28,mango,381
2024-04-29,mango,364
2024-04-30,mango,353
2024-05-01,mango,363
2024-05-02,mango,356
2024-05-03,mango,357
2024-05-04,mango,350
2024-05-05,mango,377
2024-05-06,mango,355
2024-05-07,mango,360
2024-05-08,mango,350
2024-05-09,mango,350
2024-05-10,mango,358
2024-05-11,mango,352
2024-05-12,mango,350
2024-05-13,mango,364
2024-05-14,mango,359
2024-05-15,mango,350
2024-05-16,mango,369
2024-05-17,mango,352
2024-05-18,mango,358
2024-05-19,mango,371
2024-05-20,mango,370
2024-05-21,mango,358
2024-05-22,mango,350
2024-05-23,mango,350
2024-05-24,mango,360
2024-05-25,mango,376
2024-05-26,mango,350
2024-05-27,mango,350
2024-05-28,mango,371
2024-05-29,mango,358
2024-05-30,mango,350
2024-05-31,mango,353
2024-06-01,mango,402
2024-06-02,mango,397
2024-06-03,mango,401
2024-06-04,mango,402
2024-06-05,mango,405
2024-06-06,mango,405
2024-06-07,mango,403
2024-06-08,mango,398
2024-06-09,mango,400
2024-06-10,mango,397
2024-06-11,mango,396
2024-06-12,mango,404
2024-06-13,mango,398
2024-06-14,mango,392
2024-06-15,mango,400
2024-06-16,mango,394
2024-06-17,mango,403
2024-06-18,mango,398
2024-06-19,mango,390
2024-06-20,mango,388
2024-06-21,mango,400
2024-06-22,mango,407
2024-06-23,mango,395
2024-06-24,mango,396
2024-06-25,mango,409
2024-06-26,mango,404
2024-06-27,mango,391
2024-06-28,mango,397
2024-06-29,mango,400
2024-06-30,mango,403
2024-07-01,mango,397
2024-07-02,mango,403
2024-07-03,mango,409
2024-07-04,mango,399
2024-07-05,mango,400
2024-07-06,mango,396
2024-07-07,mango,404
2024-07-08,mango,402
2024-07-09,mango,397
2024-07-10,mango,399
2024-07-11,mango,408
2024-07-12,mango,396
2024-07-13,mango,399
2024-07-14,mango,394
2024-07-15,mango,400
2024-07-16,mango,402
2024-07-17,mango,397
2024-07-18,mango,401
2024-07-19,mango,401
2024-07-20,mango,393
2024-07-21,mango,400
2024-07-22,mango,404
2024-07-23,mango,403
2024-07-24,mango,400
2024-07-25,mango,400
2024-07-26,mango,402
2024-07-27,mango,399
2024-07-28,mango,403
2024-07-29,mango,403
2024-07-30,mango,403
2024-07-31,mango,394
2024-08-01,mango,387
2024-08-02,mango,396
2024-08-03,mango,397
2024-08-04,mango,398
2024-08-05,mango,402
2024-08-06,mango,413
2024-08-07,mango,409
2024-08-08,mango,399
2024-08-09,mango,401
2024-08-10,mango,401
2024-08-11,mango,395
2024-08-12,mango,396
2024-08-13,mango,400
2024-08-14,mango,401
2024-08-15,mango,399
2024-08-16,mango,404
2024-08-17,mango,404
2024-08-18,mango,403
2024-08-19,mango,397
2024-08-20,mango,395
2024-08-21,mango,407
2024-08-22,mango,409
2024-08-23,mango,392
2024-08-24,mango,400
2024-08-25,mango,397
2024-08-26,mango,395
2024-08-27,mango,401
2024-08-28,mango,400
2024-08-29,mango,395
2024-08-30,mango,390
2024-08-31,mango,402
2024-09-01,mango,407
2024-09-02,mango,397
2024-09-03,mango,400
2024-09-04,mango,402
2024-09-05,mango,398
2024-09-06,mango,393
2024-09-07,mango,396
2024-09-08,mango,404
2024-09-09,mango,399
2024-09-10,mango,401
2024-09-11,mango,396
2024-09-12,mango,406
2024-09-13,mango,395
2024-09-14,mango,407
2024-09-15,mango,394
2024-09-16,mango,400
2024-09-17,mango,411
2024-09-18,mango,401
2024-09-19,mango,406
2024-09-20,mango,393
2024-09-21,mango,400
2024-09-22,mango,400
2024-09-23,mango,395
2024-09-24,mango,396
2024-09-25,mango,395
2024-09-26,mango,406
2024-09-27,mango,401
2024-09-28,mango,397
2024-09-29,mango,405
2024-09-30,mango,396
2024-10-01,mango,403
2024-10-02,mango,399
2024-10-03,mango,397
2024-10-04,mango,402
2024-10-05,mango,409
2024-10-06,mango,404
2024-10-07,mango,412
2024-10-08,mango,404
2024-10-09,mango,401
2024-10-10,mango,396
2024-10-11,mango,405
2024-10-12,mango,393
2024-10-13,mango,404
2024-10-14,mango,402
2024-10-15,mango,399
2024-10-16,mango,402
2024-10-17,mango,401
2024-10-18,mango,399
2024-10-19,mango,395
2024-10-20,mango,397
2024-10-21,mango,406
2024-10-22,mango,399
2024-10-23,mango,388
2024-10-24,mango,396
2024-10-25,mango,401
2024-10-26,mango,395
2024-10-27,mango,396
2024-10-28,mango,402
2024-10-29,mango,398
2024-10-30,mango,400
2024-10-31,mango,399
2024-11-01,mango,405
2024-11-02,mango,398
2024-11-03,mango,397
2024-11-04,mango,396
2024-11-05,mango,394
2024-11-06,mango,395
2024-11-07,mango,398
2024-11-08,mango,398
2024-11-09,mango,399
2024-11-10,mango,402
2024-11-11,mango,398
2024-11-12,mango,393
2024-11-13,mango,396
2024-11-14,mango,394
2024-11-15,mango,415
2024-11-16,mango,403
2024-11-17,mango,393
2024-11-18,mango,397
2024-11-19,mango,396
2024-11-20,mango,398
2024-11-21,mango,399
2024-11-22,mango,398
2024-11-23,mango,402
2024-11-24,mango,396
2024-11-25,mango,399
2024-11-26,mango,404
2024-11-27,mango,408
2024-11-28,mango,394
2024-11-29,mango,399
2024-11-30,mango,399
2024-12-01,mango,396
2024-12-02,mango,396
2024-12-03,mango,401
2024-12-04,mango,401
2024-12-05,mango,395
2024-12-06,mango,390
2024-12-07,mango,393
2024-12-08,mango,394
2024-12-09,mango,400
2024-12-10,mango,407
2024-12-11,mango,394
2024-12-12,mango,401
2024-12-13,mango,402
2024-12-14,mango,393
2024-12-15,mango,402
2024-12-16,mango,394
2024-12-17,mango,402
2024-12-18,mango,400
2024-12-19,mango,401
2024-12-20,mango,400
2024-12-21,mango,401
2024-12-22,mango,402
2024-12-23,mango,402
2024-12-24,mango,399
2024-12-25,mango,406
2024-12-26,mango,397
2024-12-27,mango,390
2024-12-28,mango,401
2024-12-29,mango,404
2024-12-30,mango,403
2024-12-31,mango,404
2025-01-01,mango,394
2025-01-02,mango,394
2025-01-03,mango,405
2025-01-04,mango,401
2025-01-05,mango,399
2025-01-06,mango,395
2025-01-07,mango,398
2025-01-08,mango,401
2025-01-09,mango,389
2025-01-10,mango,398
2025-01-11,mango,398
2025-01-12,mango,405
2025-01-13,mango,385
2025-01-14,mango,400
2025-01-15,mango,399
2025-01-16,mango,404
2025-01-17,mango,397
2025-01-18,mango,403
2025-01-19,mango,399
2025-01-20,mango,394
2025-01-21,mango,402
2025-01-22,mango,397
2025-01-23,mango,398
2025-01-24,mango,394
2025-01-25,mango,398
2025-01-26,mango,393
2025-01-27,mango,395
2025-01-28,mango,404
2025-01-29,mango,399
2025-01-30,mango,405
2025-01-31,mango,399
2025-02-01,mango,404
2025-02-02,mango,393
2025-02-03,mango,403
2025-02-04,mango,398
2025-02-05,mango,405
2025-02-06,mango,393
2025-02-07,mango,403
2025-02-08,mango,398
2025-02-09,mango,401
2025-02-10,mango,403
2025-02-11,mango,391
2025-02-12,mango,398
2025-02-13,mango,394
2025-02-14,mango,396
2025-02-15,mango,403
2025-02-16,mango,393
2025-02-17,mango,401
2025-02-18,mango,402
2025-02-19,mango,396
2025-02-20,mango,392
2025-02-21,mango,398
2025-02-22,mango,403
2025-02-23,mango,403
2025-02-24,mango,389
2025-02-25,mango,393
2025-02-26,mango,401
2025-02-27,mango,398
2025-02-28,mango,402
2025-03-01,mango,365
2025-03-02,mango,366
2025-03-03,mango,350
2025-03-04,mango,350
2025-03-05,mango,367
2025-03-06,mango,357
2025-03-07,mango,350
2025-03-08,mango,350
2025-03-09,mango,350
2025-03-10,mango,359
2025-03-11,mango,373
2025-03-12,mango,350
2025-03-13,mango,350
2025-03-14,mango,353
2025-03-15,mango,360
2025-03-16,mango,367
2025-03-17,mango,350
2025-03-18,mango,352
2025-03-19,mango,357
2025-03-20,mango,363
2025-03-21,mango,377
2025-03-22,mango,358
2025-03-23,mango,350
2025-03-24,mango,353
2025-03-25,mango,384
2025-03-26,mango,366
2025-03-27,mango,374
2025-03-28,mango,350
2025-03-29,mango,371
2025-03-30,mango,356
2025-03-31,mango,376
2025-04-01,mango,351
2025-04-02,mango,373
2025-04-03,mango,359
2025-04-04,mango,360
2025-04-05,mango,352
2025-04-06,mango,379
2025-04-07,mango,350
2025-04-08,mango,353
2025-04-09,mango,372
2025-04-10,mango,350
2025-04-11,mango,350
2025-04-12,mango,352
2025-04-13,mango,356
2025-04-14,mango,354
2025-04-15,mango,355
2025-04-16,mango,365
2025-04-17,mango,366
2025-04-18,mango,350
2025-04-19,mango,350
2025-04-20,mango,350
2025-04-21,mango,363
2025-04-22,mango,350
2025-04-23,mango,378
2025-04-24,mango,365
2025-04-25,mango,350
2025-04-26,mango,362
2025-04-27,mango,375
2025-04-28,mango,365
2025-04-29,mango,357
2025-04-30,mango,366
2025-05-01,mango,350
2024-01-01,orange,403
2024-01-02,orange,397
2024-01-03,orange,397
2024-01-04,orange,400
2024-01-05,orange,396
2024-01-06,orange,406
2024-01-07,orange,400
2024-01-08,orange,402
2024-01-09,orange,392
2024-01-10,orange,412
2024-01-11,orange,402
2024-01-12,orange,407
2024-01-13,orange,393
2024-01-14,orange,402
2024-01-15,orange,395
2024-01-16,orange,402
2024-01-17,orange,400
2024-01-18,orange,402
2024-01-19,orange,411
2024-01-20,orange,396
2024-01-21,orange,394
2024-01-22,orange,396
2024-01-23,orange,407
2024-01-24,orange,390
2024-01-25,orange,404
2024-01-26,orange,404
2024-01-27,orange,405
2024-01-28,orange,397
2024-01-29,orange,401
2024-01-30,orange,407
2024-01-31,orange,410
2024-02-01,orange,400
2024-02-02,orange,391
2024-02-03,orange,403
2024-02-04,orange,405
2024-02-05,orange,389
2024-02-06,orange,389
2024-02-07,orange,396
2024-02-08,orange,403
2024-02-09,orange,405
2024-02-10,orange,399
2024-02-11,orange,402
2024-02-12,orange,402
2024-02-13,orange,395
2024-02-14,orange,387
2024-02-15,orange,397
2024-02-16,orange,400
2024-02-17,orange,397
2024-02-18,orange,398
2024-02-19,orange,407
2024-02-20,orange,409
2024-02-21,orange,391
2024-02-22,orange,398
2024-02-23,orange,399
2024-02-24,orange,392
2024-02-25,orange,402
2024-02-26,orange,401
2024-02-27,orange,408
2024-02-28,orange,400
2024-02-29,orange,405
2024-03-01,orange,410
2024-03-02,orange,408
2024-03-03,orange,405
2024-03-04,orange,393
2024-03-05,orange,394
2024-03-06,orange,405
2024-03-07,orange,394
2024-03-08,orange,402
2024-03-09,orange,396
2024-03-10,orange,396
2024-03-11,orange,406
2024-03-12,orange,403
2024-03-13,orange,407
2024-03-14,orange,394
2024-03-15,orange,393
2024-03-16,orange,394
2024-03-17,orange,402
2024-03-18,orange,392
2024-03-19,orange,399
2024-03-20,orange,389
2024-03-21,orange,409
2024-03-22,orange,400
2024-03-23,orange,405
2024-03-24,orange,399
2024-03-25,orange,401
2024-03-26,orange,405
2024-03-27,orange,404
2024-03-28,orange,400
2024-03-29,orange,395
2024-03-30,orange,399
2024-03-31,orange,405
2024-04-01,orange,406
2024-04-02,orange,388
2024-04-03,orange,404
2024-04-04,orange,407
2024-04-05,orange,402
2024-04-06,orange,405
2024-04-07,orange,410
2024-04-08,orange,401
2024-04-09,orange,394
2024-04-10,orange,403
2024-04-11,orange,395
2024-04-12,orange,402
2024-04-13,orange,404
2024-04-14,orange,394
2024-04-15,orange,398
2024-04-16,orange,396
2024-04-17,orange,405
2024-04-18,orange,399
2024-04-19,orange,395
2024-04-20,orange,392
2024-04-21,orange,396
2024-04-22,orange,401
2024-04-23,orange,402
2024-04-24,orange,402
2024-04-25,orange,408
2024-04-26,orange,411
2024-04-27,orange,395
2024-04-28,orange,392
2024-04-29,orange,406
2024-04-30,orange,399
2024-05-01,orange,399
2024-05-02,orange,400
2024-05-03,orange,408
2024-05-04,orange,404
2024-05-05,orange,402
2024-05-06,orange,396
2024-05-07,orange,404
2024-05-08,orange,400
2024-05-09,orange,415
2024-05-10,orange,400
2024-05-11,orange,402
2024-05-12,orange,405
2024-05-13,orange,399
2024-05-14,orange,406
2024-05-15,orange,398
2024-05-16,orange,402
2024-05-17,orange,400
2024-05-18,orange,398
2024-05-19,orange,399
2024-05-20,orange,396
2024-05-21,orange,395
2024-05-22,orange,392
2024-05-23,orange,396
2024-05-24,orange,397
2024-05-25,orange,396
2024-05-26,orange,399
2024-05-27,orange,404
2024-05-28,orange,394
2024-05-29,orange,395
2024-05-30,orange,398
2024-05-31,orange,394
2024-06-01,orange,404
2024-06-02,orange,399
2024-06-03,orange,401
2024-06-04,orange,403
2024-06-05,orange,397
2024-06-06,orange,403
2024-06-07,orange,397
2024-06-08,orange,389
2024-06-09,orange,394
2024-06-10,orange,400
2024-06-11,orange,403
2024-06-12,orange,406
2024-06-13,orange,392
2024-06-14,orange,404
2024-06-15,orange,392
2024-06-16,orange,405
2024-06-17,orange,388
2024-06-18,orange,398
2024-06-19,orange,401
2024-06-20,orange,407
2024-06-21,orange,402
2024-06-22,orange,401
2024-06-23,orange,399
2024-06-24,orange,403
2024-06-25,orange,402
2024-06-26,orange,397
2024-06-27,orange,403
2024-06-28,orange,402
2024-06-29,orange,392
2024-06-30,orange,402
2024-07-01,orange,375
2024-07-02,orange,375
2024-07-03,orange,375
2024-07-04,orange,375
2024-07-05,orange,375
2024-07-06,orange,375
2024-07-07,orange,377
2024-07-08,orange,375
2024-07-09,orange,375
